model,raw_model,input_mode,source_video,task_family,premise,condition,statement_type,statement,score,response,error,result_file,line_number
Qwen/Qwen2.5-VL-3B-Instruct,Qwen/Qwen2.5-VL-3B-Instruct,split,materials\animations\ScalarImplicature3_TargetPremise(Negative).m4v,ScalarImplicature3,TargetPremise,Negative,target,"This week, Mikey will paint swirls, but not many.",50,50,,results\qwen__qwen2.5-vl-3b-instruct_sequence_ratings.jsonl,37
Qwen/Qwen2.5-VL-3B-Instruct [pure-text],Qwen/Qwen2.5-VL-3B-Instruct,pure-text,materials\animations\ScalarImplicature3_TargetPremise(Negative).m4v,ScalarImplicature3,TargetPremise,Negative,target,"This week, Mikey will paint swirls, but not many.",50,50,,results\qwen__qwen2.5-vl-3b-instruct_pure_text_sequence_ratings.jsonl,37
Qwen/Qwen2.5-VL-3B-Instruct [pure-video],Qwen/Qwen2.5-VL-3B-Instruct,pure-video,materials\animations\ScalarImplicature3_TargetPremise(Negative).m4v,ScalarImplicature3,TargetPremise,Negative,target,"This week, Mikey will paint swirls, but not many.",50,50,,results\qwen__qwen2.5-vl-3b-instruct_pure_video_sequence_ratings.jsonl,37
Qwen/Qwen2.5-VL-7B-Instruct,Qwen/Qwen2.5-VL-7B-Instruct,split,materials\animations\ScalarImplicature3_TargetPremise(Negative).m4v,ScalarImplicature3,TargetPremise,Negative,target,"This week, Mikey will paint swirls, but not many.",50,50,,results\qwen__qwen2.5-vl-7b-instruct_sequence_ratings.jsonl,37
Qwen/Qwen2.5-VL-7B-Instruct [pure-text],Qwen/Qwen2.5-VL-7B-Instruct,pure-text,materials\animations\ScalarImplicature3_TargetPremise(Negative).m4v,ScalarImplicature3,TargetPremise,Negative,target,"This week, Mikey will paint swirls, but not many.",20,20,,results\qwen__qwen2.5-vl-7b-instruct_pure_text_sequence_ratings.jsonl,37
Qwen/Qwen2.5-VL-7B-Instruct [pure-video],Qwen/Qwen2.5-VL-7B-Instruct,pure-video,materials\animations\ScalarImplicature3_TargetPremise(Negative).m4v,ScalarImplicature3,TargetPremise,Negative,target,"This week, Mikey will paint swirls, but not many.",50,50,,results\qwen__qwen2.5-vl-7b-instruct_pure_video_sequence_ratings.jsonl,37
google/gemma-4-12B-it,google/gemma-4-12B-it,split,materials\animations\ScalarImplicature3_TargetPremise(Negative).m4v,ScalarImplicature3,TargetPremise,Negative,target,"This week, Mikey will paint swirls, but not many.",0,0,,results\google__gemma-4-12b-it_sequence_ratings.jsonl,37
google/gemma-4-12B-it [pure-text],google/gemma-4-12B-it,pure-text,materials\animations\ScalarImplicature3_TargetPremise(Negative).m4v,ScalarImplicature3,TargetPremise,Negative,target,"This week, Mikey will paint swirls, but not many.",0,0,,results\google__gemma-4-12b-it_pure_text_sequence_ratings.jsonl,37
google/gemma-4-12B-it [pure-video],google/gemma-4-12B-it,pure-video,materials\animations\ScalarImplicature3_TargetPremise(Negative).m4v,ScalarImplicature3,TargetPremise,Negative,target,"This week, Mikey will paint swirls, but not many.",0,0,,results\google__gemma-4-12b-it_pure_video_sequence_ratings.jsonl,37
Qwen/Qwen2.5-VL-32B-Instruct,Qwen/Qwen2.5-VL-32B-Instruct,split,materials\animations\ScalarImplicature3_TargetPremise(Negative).m4v,ScalarImplicature3,TargetPremise,Negative,baseline,"This week, Mikey will not paint any swirls.",0,0,,results\qwen__qwen2.5-vl-32b-instruct_sequence_ratings.jsonl,38
Qwen/Qwen2.5-VL-32B-Instruct [pure-text],Qwen/Qwen2.5-VL-32B-Instruct,pure-text,materials\animations\ScalarImplicature3_TargetPremise(Negative).m4v,ScalarImplicature3,TargetPremise,Negative,baseline,"This week, Mikey will not paint any swirls.",75,75,,results\qwen__qwen2.5-vl-32b-instruct_pure_text_sequence_ratings.jsonl,38
Qwen/Qwen2.5-VL-32B-Instruct [pure-video],Qwen/Qwen2.5-VL-32B-Instruct,pure-video,materials\animations\ScalarImplicature3_TargetPremise(Negative).m4v,ScalarImplicature3,TargetPremise,Negative,baseline,"This week, Mikey will not paint any swirls.",50,50,,results\qwen__qwen2.5-vl-32b-instruct_pure_video_sequence_ratings.jsonl,38
Qwen/Qwen2.5-VL-3B-Instruct,Qwen/Qwen2.5-VL-3B-Instruct,split,materials\animations\ScalarImplicature3_TargetPremise(Negative).m4v,ScalarImplicature3,TargetPremise,Negative,baseline,"This week, Mikey will not paint any swirls.",50,50,,results\qwen__qwen2.5-vl-3b-instruct_sequence_ratings.jsonl,38
Qwen/Qwen2.5-VL-3B-Instruct [pure-text],Qwen/Qwen2.5-VL-3B-Instruct,pure-text,materials\animations\ScalarImplicature3_TargetPremise(Negative).m4v,ScalarImplicature3,TargetPremise,Negative,baseline,"This week, Mikey will not paint any swirls.",50,50,,results\qwen__qwen2.5-vl-3b-instruct_pure_text_sequence_ratings.jsonl,38
Qwen/Qwen2.5-VL-3B-Instruct [pure-video],Qwen/Qwen2.5-VL-3B-Instruct,pure-video,materials\animations\ScalarImplicature3_TargetPremise(Negative).m4v,ScalarImplicature3,TargetPremise,Negative,baseline,"This week, Mikey will not paint any swirls.",50,50,,results\qwen__qwen2.5-vl-3b-instruct_pure_video_sequence_ratings.jsonl,38
Qwen/Qwen2.5-VL-7B-Instruct,Qwen/Qwen2.5-VL-7B-Instruct,split,materials\animations\ScalarImplicature3_TargetPremise(Negative).m4v,ScalarImplicature3,TargetPremise,Negative,baseline,"This week, Mikey will not paint any swirls.",0,0,,results\qwen__qwen2.5-vl-7b-instruct_sequence_ratings.jsonl,38
Qwen/Qwen2.5-VL-7B-Instruct [pure-text],Qwen/Qwen2.5-VL-7B-Instruct,pure-text,materials\animations\ScalarImplicature3_TargetPremise(Negative).m4v,ScalarImplicature3,TargetPremise,Negative,baseline,"This week, Mikey will not paint any swirls.",20,20,,results\qwen__qwen2.5-vl-7b-instruct_pure_text_sequence_ratings.jsonl,38
Qwen/Qwen2.5-VL-7B-Instruct [pure-video],Qwen/Qwen2.5-VL-7B-Instruct,pure-video,materials\animations\ScalarImplicature3_TargetPremise(Negative).m4v,ScalarImplicature3,TargetPremise,Negative,baseline,"This week, Mikey will not paint any swirls.",90,90,,results\qwen__qwen2.5-vl-7b-instruct_pure_video_sequence_ratings.jsonl,38
google/gemma-4-12B-it,google/gemma-4-12B-it,split,materials\animations\ScalarImplicature3_TargetPremise(Negative).m4v,ScalarImplicature3,TargetPremise,Negative,baseline,"This week, Mikey will not paint any swirls.",0,0,,results\google__gemma-4-12b-it_sequence_ratings.jsonl,38
google/gemma-4-12B-it [pure-text],google/gemma-4-12B-it,pure-text,materials\animations\ScalarImplicature3_TargetPremise(Negative).m4v,ScalarImplicature3,TargetPremise,Negative,baseline,"This week, Mikey will not paint any swirls.",100,100,,results\google__gemma-4-12b-it_pure_text_sequence_ratings.jsonl,38
google/gemma-4-12B-it [pure-video],google/gemma-4-12B-it,pure-video,materials\animations\ScalarImplicature3_TargetPremise(Negative).m4v,ScalarImplicature3,TargetPremise,Negative,baseline,"This week, Mikey will not paint any swirls.",0,0,,results\google__gemma-4-12b-it_pure_video_sequence_ratings.jsonl,38
Qwen/Qwen2.5-VL-32B-Instruct,Qwen/Qwen2.5-VL-32B-Instruct,split,materials\animations\ScalarImplicature3_ControlPremise(Negative).m4v,ScalarImplicature3,ControlPremise,Negative,target,"This week, Mikey will paint swirls, but not many.",50,50,,results\qwen__qwen2.5-vl-32b-instruct_sequence_ratings.jsonl,39
Qwen/Qwen2.5-VL-32B-Instruct [pure-text],Qwen/Qwen2.5-VL-32B-Instruct,pure-text,materials\animations\ScalarImplicature3_ControlPremise(Negative).m4v,ScalarImplicature3,ControlPremise,Negative,target,"This week, Mikey will paint swirls, but not many.",50,50,,results\qwen__qwen2.5-vl-32b-instruct_pure_text_sequence_ratings.jsonl,39
Qwen/Qwen2.5-VL-32B-Instruct [pure-video],Qwen/Qwen2.5-VL-32B-Instruct,pure-video,materials\animations\ScalarImplicature3_ControlPremise(Negative).m4v,ScalarImplicature3,ControlPremise,Negative,target,"This week, Mikey will paint swirls, but not many.",50,50,,results\qwen__qwen2.5-vl-32b-instruct_pure_video_sequence_ratings.jsonl,39
Qwen/Qwen2.5-VL-3B-Instruct,Qwen/Qwen2.5-VL-3B-Instruct,split,materials\animations\ScalarImplicature3_ControlPremise(Negative).m4v,ScalarImplicature3,ControlPremise,Negative,target,"This week, Mikey will paint swirls, but not many.",50,50,,results\qwen__qwen2.5-vl-3b-instruct_sequence_ratings.jsonl,39
Qwen/Qwen2.5-VL-3B-Instruct [pure-text],Qwen/Qwen2.5-VL-3B-Instruct,pure-text,materials\animations\ScalarImplicature3_ControlPremise(Negative).m4v,ScalarImplicature3,ControlPremise,Negative,target,"This week, Mikey will paint swirls, but not many.",50,50,,results\qwen__qwen2.5-vl-3b-instruct_pure_text_sequence_ratings.jsonl,39
Qwen/Qwen2.5-VL-3B-Instruct [pure-video],Qwen/Qwen2.5-VL-3B-Instruct,pure-video,materials\animations\ScalarImplicature3_ControlPremise(Negative).m4v,ScalarImplicature3,ControlPremise,Negative,target,"This week, Mikey will paint swirls, but not many.",50,50,,results\qwen__qwen2.5-vl-3b-instruct_pure_video_sequence_ratings.jsonl,39
Qwen/Qwen2.5-VL-7B-Instruct,Qwen/Qwen2.5-VL-7B-Instruct,split,materials\animations\ScalarImplicature3_ControlPremise(Negative).m4v,ScalarImplicature3,ControlPremise,Negative,target,"This week, Mikey will paint swirls, but not many.",50,50,,results\qwen__qwen2.5-vl-7b-instruct_sequence_ratings.jsonl,39
Qwen/Qwen2.5-VL-7B-Instruct [pure-text],Qwen/Qwen2.5-VL-7B-Instruct,pure-text,materials\animations\ScalarImplicature3_ControlPremise(Negative).m4v,ScalarImplicature3,ControlPremise,Negative,target,"This week, Mikey will paint swirls, but not many.",50,50,,results\qwen__qwen2.5-vl-7b-instruct_pure_text_sequence_ratings.jsonl,39
Qwen/Qwen2.5-VL-7B-Instruct [pure-video],Qwen/Qwen2.5-VL-7B-Instruct,pure-video,materials\animations\ScalarImplicature3_ControlPremise(Negative).m4v,ScalarImplicature3,ControlPremise,Negative,target,"This week, Mikey will paint swirls, but not many.",50,50,,results\qwen__qwen2.5-vl-7b-instruct_pure_video_sequence_ratings.jsonl,39
google/gemma-4-12B-it,google/gemma-4-12B-it,split,materials\animations\ScalarImplicature3_ControlPremise(Negative).m4v,ScalarImplicature3,ControlPremise,Negative,target,"This week, Mikey will paint swirls, but not many.",0,0,,results\google__gemma-4-12b-it_sequence_ratings.jsonl,39
google/gemma-4-12B-it [pure-text],google/gemma-4-12B-it,pure-text,materials\animations\ScalarImplicature3_ControlPremise(Negative).m4v,ScalarImplicature3,ControlPremise,Negative,target,"This week, Mikey will paint swirls, but not many.",100,100,,results\google__gemma-4-12b-it_pure_text_sequence_ratings.jsonl,39
google/gemma-4-12B-it [pure-video],google/gemma-4-12B-it,pure-video,materials\animations\ScalarImplicature3_ControlPremise(Negative).m4v,ScalarImplicature3,ControlPremise,Negative,target,"This week, Mikey will paint swirls, but not many.",100,100,,results\google__gemma-4-12b-it_pure_video_sequence_ratings.jsonl,39
Qwen/Qwen2.5-VL-32B-Instruct,Qwen/Qwen2.5-VL-32B-Instruct,split,materials\animations\ScalarImplicature3_ControlPremise(Negative).m4v,ScalarImplicature3,ControlPremise,Negative,baseline,"This week, Mikey will not paint any swirls.",100,100,,results\qwen__qwen2.5-vl-32b-instruct_sequence_ratings.jsonl,40
Qwen/Qwen2.5-VL-32B-Instruct [pure-text],Qwen/Qwen2.5-VL-32B-Instruct,pure-text,materials\animations\ScalarImplicature3_ControlPremise(Negative).m4v,ScalarImplicature3,ControlPremise,Negative,baseline,"This week, Mikey will not paint any swirls.",50,50,,results\qwen__qwen2.5-vl-32b-instruct_pure_text_sequence_ratings.jsonl,40
Qwen/Qwen2.5-VL-32B-Instruct [pure-video],Qwen/Qwen2.5-VL-32B-Instruct,pure-video,materials\animations\ScalarImplicature3_ControlPremise(Negative).m4v,ScalarImplicature3,ControlPremise,Negative,baseline,"This week, Mikey will not paint any swirls.",50,50,,results\qwen__qwen2.5-vl-32b-instruct_pure_video_sequence_ratings.jsonl,40
Qwen/Qwen2.5-VL-3B-Instruct,Qwen/Qwen2.5-VL-3B-Instruct,split,materials\animations\ScalarImplicature3_ControlPremise(Negative).m4v,ScalarImplicature3,ControlPremise,Negative,baseline,"This week, Mikey will not paint any swirls.",95,95,,results\qwen__qwen2.5-vl-3b-instruct_sequence_ratings.jsonl,40
Qwen/Qwen2.5-VL-3B-Instruct [pure-text],Qwen/Qwen2.5-VL-3B-Instruct,pure-text,materials\animations\ScalarImplicature3_ControlPremise(Negative).m4v,ScalarImplicature3,ControlPremise,Negative,baseline,"This week, Mikey will not paint any swirls.",85,85,,results\qwen__qwen2.5-vl-3b-instruct_pure_text_sequence_ratings.jsonl,40
Qwen/Qwen2.5-VL-3B-Instruct [pure-video],Qwen/Qwen2.5-VL-3B-Instruct,pure-video,materials\animations\ScalarImplicature3_ControlPremise(Negative).m4v,ScalarImplicature3,ControlPremise,Negative,baseline,"This week, Mikey will not paint any swirls.",50,50,,results\qwen__qwen2.5-vl-3b-instruct_pure_video_sequence_ratings.jsonl,40
Qwen/Qwen2.5-VL-7B-Instruct,Qwen/Qwen2.5-VL-7B-Instruct,split,materials\animations\ScalarImplicature3_ControlPremise(Negative).m4v,ScalarImplicature3,ControlPremise,Negative,baseline,"This week, Mikey will not paint any swirls.",90,90,,results\qwen__qwen2.5-vl-7b-instruct_sequence_ratings.jsonl,40
Qwen/Qwen2.5-VL-7B-Instruct [pure-text],Qwen/Qwen2.5-VL-7B-Instruct,pure-text,materials\animations\ScalarImplicature3_ControlPremise(Negative).m4v,ScalarImplicature3,ControlPremise,Negative,baseline,"This week, Mikey will not paint any swirls.",20,20,,results\qwen__qwen2.5-vl-7b-instruct_pure_text_sequence_ratings.jsonl,40
Qwen/Qwen2.5-VL-7B-Instruct [pure-video],Qwen/Qwen2.5-VL-7B-Instruct,pure-video,materials\animations\ScalarImplicature3_ControlPremise(Negative).m4v,ScalarImplicature3,ControlPremise,Negative,baseline,"This week, Mikey will not paint any swirls.",90,90,,results\qwen__qwen2.5-vl-7b-instruct_pure_video_sequence_ratings.jsonl,40
google/gemma-4-12B-it,google/gemma-4-12B-it,split,materials\animations\ScalarImplicature3_ControlPremise(Negative).m4v,ScalarImplicature3,ControlPremise,Negative,baseline,"This week, Mikey will not paint any swirls.",0,0,,results\google__gemma-4-12b-it_sequence_ratings.jsonl,40
google/gemma-4-12B-it [pure-text],google/gemma-4-12B-it,pure-text,materials\animations\ScalarImplicature3_ControlPremise(Negative).m4v,ScalarImplicature3,ControlPremise,Negative,baseline,"This week, Mikey will not paint any swirls.",0,0,,results\google__gemma-4-12b-it_pure_text_sequence_ratings.jsonl,40
google/gemma-4-12B-it [pure-video],google/gemma-4-12B-it,pure-video,materials\animations\ScalarImplicature3_ControlPremise(Negative).m4v,ScalarImplicature3,ControlPremise,Negative,baseline,"This week, Mikey will not paint any swirls.",0,0,,results\google__gemma-4-12b-it_pure_video_sequence_ratings.jsonl,40
Qwen/Qwen2.5-VL-32B-Instruct,Qwen/Qwen2.5-VL-32B-Instruct,split,materials\animations\Supplement1_TargetPremise.m4v,Supplement1,TargetPremise,,target,"If Cheryl annoys a friend today, it will involve flashing a pink laser.",50,50,,results\qwen__qwen2.5-vl-32b-instruct_sequence_ratings.jsonl,41
Qwen/Qwen2.5-VL-32B-Instruct [pure-text],Qwen/Qwen2.5-VL-32B-Instruct,pure-text,materials\animations\Supplement1_TargetPremise.m4v,Supplement1,TargetPremise,,target,"If Cheryl annoys a friend today, it will involve flashing a pink laser.",50,"50

### Explanation:
- The",,results\qwen__qwen2.5-vl-32b-instruct_pure_text_sequence_ratings.jsonl,41
Qwen/Qwen2.5-VL-32B-Instruct [pure-video],Qwen/Qwen2.5-VL-32B-Instruct,pure-video,materials\animations\Supplement1_TargetPremise.m4v,Supplement1,TargetPremise,,target,"If Cheryl annoys a friend today, it will involve flashing a pink laser.",85,85,,results\qwen__qwen2.5-vl-32b-instruct_pure_video_sequence_ratings.jsonl,41
Qwen/Qwen2.5-VL-3B-Instruct,Qwen/Qwen2.5-VL-3B-Instruct,split,materials\animations\Supplement1_TargetPremise.m4v,Supplement1,TargetPremise,,target,"If Cheryl annoys a friend today, it will involve flashing a pink laser.",85,85,,results\qwen__qwen2.5-vl-3b-instruct_sequence_ratings.jsonl,41
Qwen/Qwen2.5-VL-3B-Instruct [pure-text],Qwen/Qwen2.5-VL-3B-Instruct,pure-text,materials\animations\Supplement1_TargetPremise.m4v,Supplement1,TargetPremise,,target,"If Cheryl annoys a friend today, it will involve flashing a pink laser.",85,85,,results\qwen__qwen2.5-vl-3b-instruct_pure_text_sequence_ratings.jsonl,41
Qwen/Qwen2.5-VL-3B-Instruct [pure-video],Qwen/Qwen2.5-VL-3B-Instruct,pure-video,materials\animations\Supplement1_TargetPremise.m4v,Supplement1,TargetPremise,,target,"If Cheryl annoys a friend today, it will involve flashing a pink laser.",50,50,,results\qwen__qwen2.5-vl-3b-instruct_pure_video_sequence_ratings.jsonl,41
Qwen/Qwen2.5-VL-7B-Instruct,Qwen/Qwen2.5-VL-7B-Instruct,split,materials\animations\Supplement1_TargetPremise.m4v,Supplement1,TargetPremise,,target,"If Cheryl annoys a friend today, it will involve flashing a pink laser.",85,85,,results\qwen__qwen2.5-vl-7b-instruct_sequence_ratings.jsonl,41
Qwen/Qwen2.5-VL-7B-Instruct [pure-text],Qwen/Qwen2.5-VL-7B-Instruct,pure-text,materials\animations\Supplement1_TargetPremise.m4v,Supplement1,TargetPremise,,target,"If Cheryl annoys a friend today, it will involve flashing a pink laser.",75,75,,results\qwen__qwen2.5-vl-7b-instruct_pure_text_sequence_ratings.jsonl,41
Qwen/Qwen2.5-VL-7B-Instruct [pure-video],Qwen/Qwen2.5-VL-7B-Instruct,pure-video,materials\animations\Supplement1_TargetPremise.m4v,Supplement1,TargetPremise,,target,"If Cheryl annoys a friend today, it will involve flashing a pink laser.",50,50,,results\qwen__qwen2.5-vl-7b-instruct_pure_video_sequence_ratings.jsonl,41
google/gemma-4-12B-it,google/gemma-4-12B-it,split,materials\animations\Supplement1_TargetPremise.m4v,Supplement1,TargetPremise,,target,"If Cheryl annoys a friend today, it will involve flashing a pink laser.",100,100,,results\google__gemma-4-12b-it_sequence_ratings.jsonl,41
google/gemma-4-12B-it [pure-text],google/gemma-4-12B-it,pure-text,materials\animations\Supplement1_TargetPremise.m4v,Supplement1,TargetPremise,,target,"If Cheryl annoys a friend today, it will involve flashing a pink laser.",100,100,,results\google__gemma-4-12b-it_pure_text_sequence_ratings.jsonl,41
google/gemma-4-12B-it [pure-video],google/gemma-4-12B-it,pure-video,materials\animations\Supplement1_TargetPremise.m4v,Supplement1,TargetPremise,,target,"If Cheryl annoys a friend today, it will involve flashing a pink laser.",100,100,,results\google__gemma-4-12b-it_pure_video_sequence_ratings.jsonl,41
Qwen/Qwen2.5-VL-32B-Instruct,Qwen/Qwen2.5-VL-32B-Instruct,split,materials\animations\Supplement1_TargetPremise.m4v,Supplement1,TargetPremise,,baseline,"If Cheryl annoys a friend today, it won't necessarily involve flashing a pink laser.",50,50,,results\qwen__qwen2.5-vl-32b-instruct_sequence_ratings.jsonl,42
Qwen/Qwen2.5-VL-32B-Instruct [pure-text],Qwen/Qwen2.5-VL-32B-Instruct,pure-text,materials\animations\Supplement1_TargetPremise.m4v,Supplement1,TargetPremise,,baseline,"If Cheryl annoys a friend today, it won't necessarily involve flashing a pink laser.",50,"50

### Explanation:
The statement",,results\qwen__qwen2.5-vl-32b-instruct_pure_text_sequence_ratings.jsonl,42
Qwen/Qwen2.5-VL-32B-Instruct [pure-video],Qwen/Qwen2.5-VL-32B-Instruct,pure-video,materials\animations\Supplement1_TargetPremise.m4v,Supplement1,TargetPremise,,baseline,"If Cheryl annoys a friend today, it won't necessarily involve flashing a pink laser.",50,50,,results\qwen__qwen2.5-vl-32b-instruct_pure_video_sequence_ratings.jsonl,42
Qwen/Qwen2.5-VL-3B-Instruct,Qwen/Qwen2.5-VL-3B-Instruct,split,materials\animations\Supplement1_TargetPremise.m4v,Supplement1,TargetPremise,,baseline,"If Cheryl annoys a friend today, it won't necessarily involve flashing a pink laser.",50,50,,results\qwen__qwen2.5-vl-3b-instruct_sequence_ratings.jsonl,42
Qwen/Qwen2.5-VL-3B-Instruct [pure-text],Qwen/Qwen2.5-VL-3B-Instruct,pure-text,materials\animations\Supplement1_TargetPremise.m4v,Supplement1,TargetPremise,,baseline,"If Cheryl annoys a friend today, it won't necessarily involve flashing a pink laser.",50,50,,results\qwen__qwen2.5-vl-3b-instruct_pure_text_sequence_ratings.jsonl,42
Qwen/Qwen2.5-VL-3B-Instruct [pure-video],Qwen/Qwen2.5-VL-3B-Instruct,pure-video,materials\animations\Supplement1_TargetPremise.m4v,Supplement1,TargetPremise,,baseline,"If Cheryl annoys a friend today, it won't necessarily involve flashing a pink laser.",50,50,,results\qwen__qwen2.5-vl-3b-instruct_pure_video_sequence_ratings.jsonl,42
Qwen/Qwen2.5-VL-7B-Instruct,Qwen/Qwen2.5-VL-7B-Instruct,split,materials\animations\Supplement1_TargetPremise.m4v,Supplement1,TargetPremise,,baseline,"If Cheryl annoys a friend today, it won't necessarily involve flashing a pink laser.",20,20,,results\qwen__qwen2.5-vl-7b-instruct_sequence_ratings.jsonl,42
Qwen/Qwen2.5-VL-7B-Instruct [pure-text],Qwen/Qwen2.5-VL-7B-Instruct,pure-text,materials\animations\Supplement1_TargetPremise.m4v,Supplement1,TargetPremise,,baseline,"If Cheryl annoys a friend today, it won't necessarily involve flashing a pink laser.",25,25,,results\qwen__qwen2.5-vl-7b-instruct_pure_text_sequence_ratings.jsonl,42
Qwen/Qwen2.5-VL-7B-Instruct [pure-video],Qwen/Qwen2.5-VL-7B-Instruct,pure-video,materials\animations\Supplement1_TargetPremise.m4v,Supplement1,TargetPremise,,baseline,"If Cheryl annoys a friend today, it won't necessarily involve flashing a pink laser.",95,95,,results\qwen__qwen2.5-vl-7b-instruct_pure_video_sequence_ratings.jsonl,42
google/gemma-4-12B-it,google/gemma-4-12B-it,split,materials\animations\Supplement1_TargetPremise.m4v,Supplement1,TargetPremise,,baseline,"If Cheryl annoys a friend today, it won't necessarily involve flashing a pink laser.",100,100,,results\google__gemma-4-12b-it_sequence_ratings.jsonl,42
google/gemma-4-12B-it [pure-text],google/gemma-4-12B-it,pure-text,materials\animations\Supplement1_TargetPremise.m4v,Supplement1,TargetPremise,,baseline,"If Cheryl annoys a friend today, it won't necessarily involve flashing a pink laser.",100,100,,results\google__gemma-4-12b-it_pure_text_sequence_ratings.jsonl,42
google/gemma-4-12B-it [pure-video],google/gemma-4-12B-it,pure-video,materials\animations\Supplement1_TargetPremise.m4v,Supplement1,TargetPremise,,baseline,"If Cheryl annoys a friend today, it won't necessarily involve flashing a pink laser.",100,100,,results\google__gemma-4-12b-it_pure_video_sequence_ratings.jsonl,42
Qwen/Qwen2.5-VL-32B-Instruct,Qwen/Qwen2.5-VL-32B-Instruct,split,materials\animations\Supplement1_ControlPremise.m4v,Supplement1,ControlPremise,,target,"If Mitchell annoys a friend today, it will involve flashing a pink laser.",90,90,,results\qwen__qwen2.5-vl-32b-instruct_sequence_ratings.jsonl,43
Qwen/Qwen2.5-VL-32B-Instruct [pure-text],Qwen/Qwen2.5-VL-32B-Instruct,pure-text,materials\animations\Supplement1_ControlPremise.m4v,Supplement1,ControlPremise,,target,"If Mitchell annoys a friend today, it will involve flashing a pink laser.",50,50,,results\qwen__qwen2.5-vl-32b-instruct_pure_text_sequence_ratings.jsonl,43
Qwen/Qwen2.5-VL-32B-Instruct [pure-video],Qwen/Qwen2.5-VL-32B-Instruct,pure-video,materials\animations\Supplement1_ControlPremise.m4v,Supplement1,ControlPremise,,target,"If Mitchell annoys a friend today, it will involve flashing a pink laser.",85,85,,results\qwen__qwen2.5-vl-32b-instruct_pure_video_sequence_ratings.jsonl,43
Qwen/Qwen2.5-VL-3B-Instruct,Qwen/Qwen2.5-VL-3B-Instruct,split,materials\animations\Supplement1_ControlPremise.m4v,Supplement1,ControlPremise,,target,"If Mitchell annoys a friend today, it will involve flashing a pink laser.",85,85,,results\qwen__qwen2.5-vl-3b-instruct_sequence_ratings.jsonl,43
Qwen/Qwen2.5-VL-3B-Instruct [pure-text],Qwen/Qwen2.5-VL-3B-Instruct,pure-text,materials\animations\Supplement1_ControlPremise.m4v,Supplement1,ControlPremise,,target,"If Mitchell annoys a friend today, it will involve flashing a pink laser.",85,85,,results\qwen__qwen2.5-vl-3b-instruct_pure_text_sequence_ratings.jsonl,43
Qwen/Qwen2.5-VL-3B-Instruct [pure-video],Qwen/Qwen2.5-VL-3B-Instruct,pure-video,materials\animations\Supplement1_ControlPremise.m4v,Supplement1,ControlPremise,,target,"If Mitchell annoys a friend today, it will involve flashing a pink laser.",50,50,,results\qwen__qwen2.5-vl-3b-instruct_pure_video_sequence_ratings.jsonl,43
Qwen/Qwen2.5-VL-7B-Instruct,Qwen/Qwen2.5-VL-7B-Instruct,split,materials\animations\Supplement1_ControlPremise.m4v,Supplement1,ControlPremise,,target,"If Mitchell annoys a friend today, it will involve flashing a pink laser.",95,95,,results\qwen__qwen2.5-vl-7b-instruct_sequence_ratings.jsonl,43
Qwen/Qwen2.5-VL-7B-Instruct [pure-text],Qwen/Qwen2.5-VL-7B-Instruct,pure-text,materials\animations\Supplement1_ControlPremise.m4v,Supplement1,ControlPremise,,target,"If Mitchell annoys a friend today, it will involve flashing a pink laser.",85,85,,results\qwen__qwen2.5-vl-7b-instruct_pure_text_sequence_ratings.jsonl,43
Qwen/Qwen2.5-VL-7B-Instruct [pure-video],Qwen/Qwen2.5-VL-7B-Instruct,pure-video,materials\animations\Supplement1_ControlPremise.m4v,Supplement1,ControlPremise,,target,"If Mitchell annoys a friend today, it will involve flashing a pink laser.",70,70,,results\qwen__qwen2.5-vl-7b-instruct_pure_video_sequence_ratings.jsonl,43
google/gemma-4-12B-it,google/gemma-4-12B-it,split,materials\animations\Supplement1_ControlPremise.m4v,Supplement1,ControlPremise,,target,"If Mitchell annoys a friend today, it will involve flashing a pink laser.",100,100,,results\google__gemma-4-12b-it_sequence_ratings.jsonl,43
google/gemma-4-12B-it [pure-text],google/gemma-4-12B-it,pure-text,materials\animations\Supplement1_ControlPremise.m4v,Supplement1,ControlPremise,,target,"If Mitchell annoys a friend today, it will involve flashing a pink laser.",100,100,,results\google__gemma-4-12b-it_pure_text_sequence_ratings.jsonl,43
google/gemma-4-12B-it [pure-video],google/gemma-4-12B-it,pure-video,materials\animations\Supplement1_ControlPremise.m4v,Supplement1,ControlPremise,,target,"If Mitchell annoys a friend today, it will involve flashing a pink laser.",100,100,,results\google__gemma-4-12b-it_pure_video_sequence_ratings.jsonl,43
Qwen/Qwen2.5-VL-32B-Instruct,Qwen/Qwen2.5-VL-32B-Instruct,split,materials\animations\Supplement1_ControlPremise.m4v,Supplement1,ControlPremise,,baseline,"If Mitchell annoys a friend today, it won't necessarily involve flashing a pink laser.",50,50,,results\qwen__qwen2.5-vl-32b-instruct_sequence_ratings.jsonl,44
Qwen/Qwen2.5-VL-32B-Instruct [pure-text],Qwen/Qwen2.5-VL-32B-Instruct,pure-text,materials\animations\Supplement1_ControlPremise.m4v,Supplement1,ControlPremise,,baseline,"If Mitchell annoys a friend today, it won't necessarily involve flashing a pink laser.",50,"50

### Explanation:
The statement",,results\qwen__qwen2.5-vl-32b-instruct_pure_text_sequence_ratings.jsonl,44
